champ_a,role_a,champ_b,role_b,winrate,matches
Taric,Top,Talon,Jungle,0.5419,13
Taric,Top,Graves,Jungle,0.4994,18
Taric,Top,Rengar,Jungle,0.5115,6
Taric,Top,Hecarim,Jungle,0.489,9
Taric,Top,Khazix,Jungle,0.4925,6
Taric,Top,Kayn,Jungle,0.49,8
Taric,Top,Belveth,Jungle,0.4292,7
Taric,Top,Briar,Jungle,0.443,5
Taric,Top,Viego,Jungle,0.4547,14
Taric,Top,Ekko,Jungle,0.565,10
Taric,Top,Qiyana,Jungle,0.523,15
Taric,Top,Vi,Jungle,0.4885,9
Taric,Top,RekSai,Jungle,0.5174,5
Taric,Top,Sylas,Jungle,0.4458,9
Taric,Top,Naafiri,Jungle,0.4757,7
Taric,Top,TwistedFate,Mid,0.4534,10
Taric,Top,Leblanc,Mid,0.5398,10
Taric,Top,Vladimir,Mid,0.5701,5
Taric,Top,Ryze,Mid,0.4983,6
Taric,Top,Kassadin,Mid,0.51,9
Taric,Top,Irelia,Mid,0.5274,5
