champ_a,role_a,champ_b,role_b,winrate,matches
Taric,Top,Veigar,Mid,0.5341,7
Taric,Top,Katarina,Mid,0.5299,15
Taric,Top,Orianna,Mid,0.4952,6
Taric,Top,Akali,Mid,0.4649,7
Taric,Top,Lux,Mid,0.4893,7
Taric,Top,Xerath,Mid,0.5421,9
Taric,Top,Ahri,Mid,0.447,15
Taric,Top,Fizz,Mid,0.4875,7
Taric,Top,Viktor,Mid,0.5611,14
Taric,Top,Lissandra,Mid,0.4744,10
Taric,Top,Syndra,Mid,0.4935,18
Taric,Top,Yasuo,Mid,0.4626,16
Taric,Top,Zed,Mid,0.443,15
Taric,Top,Qiyana,Mid,0.5103,5
Taric,Top,Sylas,Mid,0.4459,15
Taric,Top,Yone,Mid,0.5313,10
Taric,Top,Locke,Mid,0.5528,14
Taric,Top,Hwei,Mid,0.5014,8
Taric,Top,Sivir,ADC,0.4785,9
Taric,Top,Tristana,ADC,0.562,17
Taric,Top,MissFortune,ADC,0.4743,6
Taric,Top,Ashe,ADC,0.4497,11
